block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,7,25,10
0,25.00000000842162,7,25,10
1000000,24.999998574895198,7,25,10
2000000,24.99999607302462,7,25,10
3000000,24.99999747813182,7,25,10
4000000,24.99998696075118,7,25,10
5000000,24.99998791627428,7,25,10
6000000,24.999988471749305,7,25,10
7000000,24.99998549959379,7,25,10
8000000,24.999986999448456,7,25,10
9000000,24.999986348645976,7,25,10
10000000,24.999985137076653,7,25,10
11000000,24.999985955523343,7,25,10
12000000,24.999987779219797,7,25,10
13000000,24.99998671663388,7,25,10
14000000,24.999987929394614,7,25,10
15000000,24.99998831956587,7,25,10
16000000,24.99998638239876,7,25,10
17000000,24.999986270133345,7,25,10
18000000,24.999986339808107,7,25,10
19000000,24.999984325564224,7,25,10
20000000,24.99998324797738,7,25,10
21000000,24.999983192674637,7,25,10
22000000,24.999983368426353,7,25,10
23000000,24.999985804606826,7,25,10
24000000,24.999986398332066,7,25,10
25000000,24.999987031246743,7,25,10
26000000,24.999989618275176,7,25,10
27000000,24.999990020192538,7,25,10
28000000,24.99998883198196,7,25,10
29000000,24.9999885970059,7,25,10
30000000,24.99998794887849,7,25,10
31000000,24.99998873348025,7,25,10
32000000,24.999989194939612,7,25,10
33000000,24.9999893936472,7,25,10
34000000,24.999989065753343,7,25,10
35000000,24.999989176997374,7,25,10
36000000,24.99998890461759,7,25,10
37000000,24.999989133255884,7,25,10
38000000,24.99998908139246,7,25,10
39000000,24.999989031776227,7,25,10
40000000,24.999987631512756,7,25,10
41000000,24.999988378274047,7,25,10
42000000,24.99998736417764,7,25,10
43000000,24.99998701950858,7,25,10
44000000,24.99998607509932,7,25,10
45000000,24.99998565683952,7,25,10
46000000,24.999985227995314,7,25,10
47000000,24.999984525279856,7,25,10
48000000,24.999984244866646,7,25,10
49000000,24.999984554134322,7,25,10
50000000,24.99998497044087,7,25,10
51000000,24.99998516090968,7,25,10
52000000,24.999985029298767,7,25,10
53000000,24.99998628628574,7,25,10
54000000,24.999985959399908,7,25,10
55000000,24.999986345611934,7,25,10
56000000,24.999985732597942,7,25,10
57000000,24.999986401674697,7,25,10
58000000,24.999985782403396,7,25,10
59000000,24.999985319202015,7,25,10
60000000,24.999985639599235,7,25,10
61000000,24.99998674133156,7,25,10
62000000,24.999986405362122,7,25,10
63000000,24.999986328911096,7,25,10
64000000,24.999986197236034,7,25,10
65000000,24.999986160238475,7,25,10
66000000,24.999985603921125,7,25,10
67000000,24.999985895284034,7,25,10
68000000,24.999984970109896,7,25,10
69000000,24.99998538977377,7,25,10
70000000,24.99998664356354,7,25,10
71000000,24.999987428937708,7,25,10
72000000,24.99998873559579,7,25,10
73000000,24.999988743717935,7,25,10
74000000,24.999988419179285,7,25,10
75000000,24.999988666379675,7,25,10
76000000,24.999988734656824,7,25,10
77000000,24.99998831704463,7,25,10
78000000,24.999987564155518,7,25,10
79000000,24.99998699235351,7,25,10
80000000,24.999986815331194,7,25,10
81000000,24.999986040902513,7,25,10
82000000,24.99998666710715,7,25,10
83000000,24.999986768814665,7,25,10
84000000,24.999987802007134,7,25,10
85000000,24.99998651377295,7,25,10
86000000,24.999986354104276,7,25,10
87000000,24.999985885891608,7,25,10
88000000,24.9999858966431,7,25,10
89000000,24.999985403312312,7,25,10
90000000,24.999985866831164,7,25,10
91000000,24.999985708535004,7,25,10
92000000,24.99998554044986,7,25,10
93000000,24.999985370126616,7,25,10
94000000,24.99998575132392,7,25,10
95000000,24.99998496480526,7,25,10
96000000,24.999985620837506,7,25,10
97000000,24.999985755502287,7,25,10
98000000,24.999986444687035,7,25,10
99000000,24.99998641170264,7,25,10
100000000,24.99998626758258,7,25,10
101000000,24.999986372716055,7,25,10
102000000,24.999986789006247,7,25,10
103000000,24.99998655038199,7,25,10
104000000,24.999986219062553,7,25,10
105000000,24.99998629199473,7,25,10
106000000,24.999986287709067,7,25,10
107000000,24.999986427791303,7,25,10
108000000,24.99998649266809,7,25,10
109000000,24.999986422284127,7,25,10
110000000,24.999986647465708,7,25,10
111000000,24.99998623625121,7,25,10
112000000,24.999986313522722,7,25,10
113000000,24.999986235509787,7,25,10
114000000,24.99998598525159,7,25,10
115000000,24.999985521595313,7,25,10
116000000,24.999985472358706,7,25,10
117000000,24.999985822376523,7,25,10
118000000,24.999986252400085,7,25,10
119000000,24.99998638198434,7,25,10
120000000,24.99998643939981,7,25,10
121000000,24.999986610068124,7,25,10
122000000,24.999986434041823,7,25,10
