block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,14,25,10
0,24.999999997192795,14,25,10
1000000,25.000010337102594,14,25,10
2000000,25.000009663543587,14,25,10
3000000,25.000007118950773,14,25,10
4000000,25.00000604634456,14,25,10
5000000,25.00000702074683,14,25,10
6000000,25.00000623710959,14,25,10
7000000,25.00000626303879,14,25,10
8000000,25.000006757772226,14,25,10
9000000,25.000006575380013,14,25,10
10000000,25.000007443636186,14,25,10
11000000,25.000007707303844,14,25,10
12000000,25.000007523241436,14,25,10
13000000,25.000008110134843,14,25,10
14000000,25.000008034953265,14,25,10
15000000,25.000009759119568,14,25,10
16000000,25.00001002781141,14,25,10
17000000,25.000010527921546,14,25,10
18000000,25.000010447091253,14,25,10
19000000,25.00001004279516,14,25,10
20000000,25.00001110839914,14,25,10
21000000,25.00001093625901,14,25,10
22000000,25.000011576616977,14,25,10
23000000,25.00001120694137,14,25,10
24000000,25.000010450382536,14,25,10
25000000,25.000009881063296,14,25,10
26000000,25.000010257908013,14,25,10
27000000,25.000010179815547,14,25,10
28000000,25.000010553391583,14,25,10
29000000,25.000010924119575,14,25,10
30000000,25.000010615720136,14,25,10
31000000,25.000010464745788,14,25,10
32000000,25.000010079770274,14,25,10
33000000,25.000010902261305,14,25,10
34000000,25.000011518053284,14,25,10
35000000,25.000011592157534,14,25,10
36000000,25.00001150894051,14,25,10
37000000,25.000010970124265,14,25,10
38000000,25.000011442551056,14,25,10
39000000,25.000010995778084,14,25,10
40000000,25.000010977064974,14,25,10
41000000,25.00001129968763,14,25,10
42000000,25.000011261228682,14,25,10
43000000,25.000011113669178,14,25,10
44000000,25.000011754017105,14,25,10
45000000,25.000011805166217,14,25,10
46000000,25.00001228300926,14,25,10
47000000,25.000012696995693,14,25,10
48000000,25.00001252860947,14,25,10
49000000,25.000013730744726,14,25,10
50000000,25.000013461271664,14,25,10
51000000,25.00001263195948,14,25,10
52000000,25.000013374005537,14,25,10
53000000,25.000013107726378,14,25,10
54000000,25.000013439474532,14,25,10
55000000,25.000013325462973,14,25,10
56000000,25.00001311419992,14,25,10
57000000,25.00001379243122,14,25,10
58000000,25.000014189493918,14,25,10
59000000,25.000014591138953,14,25,10
60000000,25.000013952646,14,25,10
61000000,25.00001437093041,14,25,10
62000000,25.00001431111114,14,25,10
63000000,25.000013844250123,14,25,10
64000000,25.000012857389624,14,25,10
65000000,25.00001246933862,14,25,10
66000000,25.00001243599661,14,25,10
67000000,25.000012477896398,14,25,10
68000000,25.00001324709235,14,25,10
69000000,25.000013111731057,14,25,10
70000000,25.000013122902192,14,25,10
71000000,25.00001323855364,14,25,10
72000000,25.000013023974006,14,25,10
73000000,25.000013331074776,14,25,10
74000000,25.000013729897603,14,25,10
75000000,25.000014153346996,14,25,10
76000000,25.000014176990927,14,25,10
77000000,25.0000137038231,14,25,10
78000000,25.000014358437834,14,25,10
79000000,25.00001429386455,14,25,10
80000000,25.000014015804684,14,25,10
81000000,25.000013851883494,14,25,10
82000000,25.000013402467196,14,25,10
83000000,25.000013386627817,14,25,10
84000000,25.000013280424454,14,25,10
85000000,25.000012239159584,14,25,10
86000000,25.000012677666085,14,25,10
87000000,25.000012416040263,14,25,10
88000000,25.00001203042912,14,25,10
89000000,25.00001198967073,14,25,10
90000000,25.000012526962312,14,25,10
91000000,25.000011754226005,14,25,10
92000000,25.000010969286997,14,25,10
93000000,25.000011072768448,14,25,10
94000000,25.00001038484673,14,25,10
95000000,25.000010513023398,14,25,10
96000000,25.00001059728767,14,25,10
97000000,25.000010676024907,14,25,10
98000000,25.00001045201352,14,25,10
99000000,25.000009691566383,14,25,10
100000000,25.000009750009553,14,25,10
101000000,25.000010819346414,14,25,10
102000000,25.00001057187486,14,25,10
103000000,25.000010478425423,14,25,10
104000000,25.000010635721353,14,25,10
105000000,25.000010442262287,14,25,10
106000000,25.00001039494843,14,25,10
107000000,25.000010312831645,14,25,10
108000000,25.000010226170915,14,25,10
109000000,25.000010875622685,14,25,10
110000000,25.000010917068956,14,25,10
111000000,25.000010449552345,14,25,10
112000000,25.00001019437886,14,25,10
113000000,25.00001013137552,14,25,10
114000000,25.000010889637448,14,25,10
115000000,25.000010880529857,14,25,10
116000000,25.000010467008444,14,25,10
117000000,25.00001061296074,14,25,10
118000000,25.000009975904586,14,25,10
119000000,25.00001056458956,14,25,10
120000000,25.000011177844605,14,25,10
121000000,25.00001086323985,14,25,10
122000000,25.000010560946855,14,25,10
