block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,14,25,10
0,24.999999997192795,14,25,10
1000000,25.000000821056762,14,25,10
2000000,25.00000446817773,14,25,10
3000000,25.000002958537493,14,25,10
4000000,25.000002389211957,14,25,10
5000000,25.000002640779083,14,25,10
6000000,25.00000449970458,14,25,10
7000000,25.000005028131145,14,25,10
8000000,25.000005713732776,14,25,10
9000000,25.000007138623424,14,25,10
10000000,25.00000609947183,14,25,10
11000000,25.000007005931373,14,25,10
12000000,25.00000699281068,14,25,10
13000000,25.000006456534056,14,25,10
14000000,25.000007021843363,14,25,10
15000000,25.000007112357007,14,25,10
16000000,25.000006902398546,14,25,10
17000000,25.000007099023396,14,25,10
18000000,25.00000668860089,14,25,10
19000000,25.00000643455438,14,25,10
20000000,25.000006214537123,14,25,10
21000000,25.000005557872036,14,25,10
22000000,25.00000668120049,14,25,10
23000000,25.000005502151566,14,25,10
24000000,25.00000432633756,14,25,10
25000000,25.00000354462024,14,25,10
26000000,25.000003962730794,14,25,10
27000000,25.00000366894571,14,25,10
28000000,25.00000403449134,14,25,10
29000000,25.000003968464718,14,25,10
30000000,25.000003618710792,14,25,10
31000000,25.00000421593373,14,25,10
32000000,25.000004075280373,14,25,10
33000000,25.000003045876785,14,25,10
34000000,25.0000028161612,14,25,10
35000000,25.00000212834906,14,25,10
36000000,25.000001658371197,14,25,10
37000000,25.000001658699468,14,25,10
38000000,25.000001635413437,14,25,10
39000000,25.000000957901303,14,25,10
40000000,25.000000907187392,14,25,10
41000000,25.00000130895997,14,25,10
42000000,25.000001642771103,14,25,10
43000000,25.000001760535937,14,25,10
44000000,25.00000117176172,14,25,10
45000000,25.00000054686201,14,25,10
46000000,25.000001098317977,14,25,10
47000000,25.000002811949855,14,25,10
48000000,25.000002555655804,14,25,10
49000000,25.000002919562625,14,25,10
50000000,25.000002595080268,14,25,10
51000000,25.00000296054608,14,25,10
52000000,25.000002720132535,14,25,10
53000000,25.000003819064027,14,25,10
54000000,25.000004039792017,14,25,10
55000000,25.00000394264458,14,25,10
56000000,25.00000440607752,14,25,10
57000000,25.000003305262027,14,25,10
58000000,25.000002909514553,14,25,10
59000000,25.00000219795125,14,25,10
60000000,25.00000127829287,14,25,10
61000000,25.000001700086937,14,25,10
62000000,25.00000150418085,14,25,10
63000000,25.00000133732172,14,25,10
64000000,25.000002794900904,14,25,10
65000000,25.000002679576838,14,25,10
66000000,25.000003540277227,14,25,10
67000000,25.000003261261032,14,25,10
68000000,25.000003786987694,14,25,10
69000000,25.000002766128237,14,25,10
70000000,25.000003015175604,14,25,10
71000000,25.00000268141101,14,25,10
72000000,25.00000236260302,14,25,10
73000000,25.00000156896755,14,25,10
74000000,25.000002773314066,14,25,10
75000000,25.00000250938633,14,25,10
76000000,25.000002423375523,14,25,10
77000000,25.000002239030035,14,25,10
78000000,25.000002571534235,14,25,10
79000000,25.000002491227054,14,25,10
80000000,25.000002340881284,14,25,10
81000000,25.00000211266587,14,25,10
82000000,25.000001804439993,14,25,10
83000000,25.000001979422038,14,25,10
84000000,25.000002570573265,14,25,10
85000000,25.000003251827536,14,25,10
86000000,25.000003355691113,14,25,10
87000000,25.000003441443315,14,25,10
88000000,25.00000331519483,14,25,10
89000000,25.000003087612495,14,25,10
90000000,25.000003121411353,14,25,10
91000000,25.000002483834283,14,25,10
92000000,25.000002786641563,14,25,10
93000000,25.0000038010073,14,25,10
94000000,25.000004602456528,14,25,10
95000000,25.000004185984704,14,25,10
96000000,25.000004363775226,14,25,10
97000000,25.000004626932782,14,25,10
98000000,25.00000408806015,14,25,10
99000000,25.000003157694284,14,25,10
100000000,25.000003447792363,14,25,10
101000000,25.000002400811695,14,25,10
102000000,25.000002939427684,14,25,10
103000000,25.00000318564722,14,25,10
104000000,25.000002780894302,14,25,10
105000000,25.00000294272794,14,25,10
106000000,25.000002771868875,14,25,10
107000000,25.000002469504267,14,25,10
108000000,25.000002790906034,14,25,10
109000000,25.00000292129238,14,25,10
110000000,25.0000023525948,14,25,10
111000000,25.000002395328874,14,25,10
112000000,25.000002564939884,14,25,10
113000000,25.000002857074456,14,25,10
114000000,25.00000231325495,14,25,10
115000000,25.00000293562415,14,25,10
116000000,25.000001897553513,14,25,10
117000000,25.000001693106977,14,25,10
118000000,25.000001039326587,14,25,10
119000000,25.000001030472397,14,25,10
120000000,25.00000132032534,14,25,10
121000000,25.00000219312632,14,25,10
122000000,25.000002471633366,14,25,10
