block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,1,25,10
0,25.00000000842162,1,25,10
1000000,25.000006140505793,1,25,10
2000000,25.000016935922552,1,25,10
3000000,25.000028902105253,1,25,10
4000000,25.000034175172125,1,25,10
5000000,25.000033194014847,1,25,10
6000000,25.000031255407734,1,25,10
7000000,25.000033396790368,1,25,10
8000000,25.000031013345748,1,25,10
9000000,25.000030328454304,1,25,10
10000000,25.000038273853047,1,25,10
11000000,25.000036395170937,1,25,10
12000000,25.000033469094085,1,25,10
13000000,25.00003483547347,1,25,10
14000000,25.000040450175465,1,25,10
15000000,25.000038857648093,1,25,10
16000000,25.000034550709984,1,25,10
17000000,25.000029072574126,1,25,10
18000000,25.000027885659048,1,25,10
19000000,25.000024241365686,1,25,10
20000000,25.000020944790553,1,25,10
21000000,25.00001979645398,1,25,10
22000000,25.00002357418986,1,25,10
23000000,25.000021687373575,1,25,10
24000000,25.000018042601603,1,25,10
25000000,25.000021694008172,1,25,10
26000000,25.00002379100091,1,25,10
27000000,25.00002546718274,1,25,10
28000000,25.00002519944704,1,25,10
29000000,25.000028415554894,1,25,10
30000000,25.00002384170071,1,25,10
31000000,25.000022307082276,1,25,10
32000000,25.000022287051138,1,25,10
33000000,25.000020498577037,1,25,10
34000000,25.000023678805906,1,25,10
35000000,25.00002513606453,1,25,10
36000000,25.000027876079038,1,25,10
37000000,25.000030553363,1,25,10
38000000,25.000030188161414,1,25,10
39000000,25.00002960564625,1,25,10
40000000,25.000028862917105,1,25,10
41000000,25.000027646043087,1,25,10
42000000,25.000024757210475,1,25,10
43000000,25.000024838172475,1,25,10
44000000,25.00002526817246,1,25,10
45000000,25.000026448151143,1,25,10
46000000,25.000024873803035,1,25,10
47000000,25.000027536999035,1,25,10
48000000,25.000026656661422,1,25,10
49000000,25.00002573731961,1,25,10
50000000,25.000025547054832,1,25,10
51000000,25.00002334732729,1,25,10
52000000,25.000025189822328,1,25,10
53000000,25.000025506655373,1,25,10
54000000,25.00002586170777,1,25,10
55000000,25.000025027917438,1,25,10
56000000,25.000027645966778,1,25,10
57000000,25.000027295319377,1,25,10
58000000,25.00002957817683,1,25,10
59000000,25.00003264677872,1,25,10
60000000,25.000033013840017,1,25,10
61000000,25.000032801897216,1,25,10
62000000,25.000033026356355,1,25,10
63000000,25.00003311990869,1,25,10
64000000,25.000037238787087,1,25,10
65000000,25.00003699931287,1,25,10
66000000,25.000036320072187,1,25,10
67000000,25.000034379947213,1,25,10
68000000,25.00003209020908,1,25,10
69000000,25.000033116797898,1,25,10
70000000,25.00003463639674,1,25,10
71000000,25.00003512664358,1,25,10
72000000,25.000035498855706,1,25,10
73000000,25.00003536941816,1,25,10
74000000,25.000035473693632,1,25,10
75000000,25.00003461306113,1,25,10
76000000,25.00003371425023,1,25,10
77000000,25.000037138694037,1,25,10
78000000,25.000037088746595,1,25,10
79000000,25.00003791858838,1,25,10
80000000,25.000038510623078,1,25,10
81000000,25.000039282205904,1,25,10
82000000,25.000037973601337,1,25,10
83000000,25.0000374348201,1,25,10
84000000,25.000038089151538,1,25,10
85000000,25.000037933672516,1,25,10
86000000,25.00003708498047,1,25,10
87000000,25.000035900313648,1,25,10
88000000,25.000034119588584,1,25,10
89000000,25.00003501586235,1,25,10
90000000,25.00003484674675,1,25,10
91000000,25.0000375138831,1,25,10
92000000,25.00003830920314,1,25,10
93000000,25.000036582418517,1,25,10
94000000,25.000036721071478,1,25,10
95000000,25.00003671788483,1,25,10
96000000,25.00003689886487,1,25,10
97000000,25.000036566965978,1,25,10
98000000,25.000034364449014,1,25,10
99000000,25.000034384545284,1,25,10
100000000,25.000034330848642,1,25,10
101000000,25.00003371883363,1,25,10
102000000,25.00003547699498,1,25,10
103000000,25.000036079449934,1,25,10
104000000,25.000035651136756,1,25,10
105000000,25.00003569686316,1,25,10
106000000,25.000035542202465,1,25,10
107000000,25.000034919256347,1,25,10
108000000,25.000036229693922,1,25,10
109000000,25.000036881949363,1,25,10
110000000,25.00003822274141,1,25,10
111000000,25.000036757517535,1,25,10
112000000,25.000037166229443,1,25,10
113000000,25.000036685278676,1,25,10
114000000,25.00003665398517,1,25,10
115000000,25.000034371901243,1,25,10
116000000,25.000033230754624,1,25,10
117000000,25.0000328792034,1,25,10
118000000,25.000033406409084,1,25,10
119000000,25.00003367065827,1,25,10
120000000,25.00003332433456,1,25,10
121000000,25.000033964254804,1,25,10
122000000,25.000033481987476,1,25,10
123000000,25.000034004018364,1,25,10
124000000,25.0000343464214,1,25,10
125000000,25.0000350063844,1,25,10
126000000,25.000034555304268,1,25,10
127000000,25.000035596460247,1,25,10
128000000,25.000034737481116,1,25,10
129000000,25.000035126125088,1,25,10
130000000,25.00003445900952,1,25,10
131000000,25.0000343151598,1,25,10
132000000,25.00003406146764,1,25,10
133000000,25.000035561480043,1,25,10
134000000,25.00003616103237,1,25,10
135000000,25.000036285526388,1,25,10
136000000,25.00003697223593,1,25,10
137000000,25.00003740773053,1,25,10
138000000,25.000037512886593,1,25,10
139000000,25.000038575792892,1,25,10
140000000,25.00003819253289,1,25,10
141000000,25.000038033449794,1,25,10
142000000,25.000036912611602,1,25,10
143000000,25.000036293985,1,25,10
144000000,25.000038019318392,1,25,10
145000000,25.00003884325586,1,25,10
146000000,25.000038956774496,1,25,10
147000000,25.00003783577428,1,25,10
148000000,25.00003674884396,1,25,10
149000000,25.00003729719178,1,25,10
150000000,25.000037659830177,1,25,10
151000000,25.000037530614534,1,25,10
152000000,25.000036570000127,1,25,10
153000000,25.000038118187184,1,25,10
154000000,25.00003738209769,1,25,10
155000000,25.000037317460922,1,25,10
156000000,25.00003721103971,1,25,10
157000000,25.000037823461817,1,25,10
158000000,25.00003761670221,1,25,10
159000000,25.000037749316128,1,25,10
160000000,25.000037504119422,1,25,10
161000000,25.000037296057698,1,25,10
162000000,25.00003783516385,1,25,10
163000000,25.00003856714668,1,25,10
164000000,25.000039304036175,1,25,10
165000000,25.000040036432512,1,25,10
166000000,25.000040626659313,1,25,10
167000000,25.000040033495452,1,25,10
168000000,25.00004047547303,1,25,10
169000000,25.00003935086686,1,25,10
