block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,7,25,10
0,25.00000000842162,7,25,10
1000000,24.999997209791893,7,25,10
2000000,24.999992731507454,7,25,10
3000000,24.999994714887013,7,25,10
4000000,24.999996913153723,7,25,10
5000000,24.999996194833784,7,25,10
6000000,24.999992214919946,7,25,10
7000000,24.999992128697137,7,25,10
8000000,24.999992846082016,7,25,10
9000000,24.999993779229964,7,25,10
10000000,24.999996551393462,7,25,10
11000000,24.999994839475978,7,25,10
12000000,24.99999404216699,7,25,10
13000000,24.999992966077713,7,25,10
14000000,24.999992023115603,7,25,10
15000000,24.99999187274025,7,25,10
16000000,24.99999215748099,7,25,10
17000000,24.999992294140892,7,25,10
18000000,24.999991745075725,7,25,10
19000000,24.99999180152565,7,25,10
20000000,24.999992502908867,7,25,10
21000000,24.999991419072515,7,25,10
22000000,24.999992048934747,7,25,10
23000000,24.999992775082386,7,25,10
24000000,24.999992793673826,7,25,10
25000000,24.999992492524374,7,25,10
26000000,24.999992158571885,7,25,10
27000000,24.99999127815708,7,25,10
28000000,24.999991546829488,7,25,10
29000000,24.99999388091712,7,25,10
30000000,24.999994692970507,7,25,10
31000000,24.999994836097592,7,25,10
32000000,24.9999949281873,7,25,10
33000000,24.999995461221395,7,25,10
34000000,24.999996163092238,7,25,10
35000000,24.999996290402933,7,25,10
36000000,24.999995106306226,7,25,10
37000000,24.999994270233174,7,25,10
38000000,24.99999389113742,7,25,10
39000000,24.99999419586178,7,25,10
40000000,24.999993880521018,7,25,10
41000000,24.99999469841074,7,25,10
42000000,24.999995694915427,7,25,10
43000000,24.999995881374755,7,25,10
44000000,24.999995505389453,7,25,10
45000000,24.999997249162973,7,25,10
46000000,24.99999637455219,7,25,10
47000000,24.999995784046362,7,25,10
48000000,24.999995781890487,7,25,10
49000000,24.999995640999316,7,25,10
50000000,24.999995491526818,7,25,10
51000000,24.99999595108166,7,25,10
52000000,24.999995312393246,7,25,10
53000000,24.999995912919992,7,25,10
54000000,24.999996306815525,7,25,10
55000000,24.999996264722217,7,25,10
56000000,24.999995775879388,7,25,10
57000000,24.9999948382236,7,25,10
58000000,24.999994551207198,7,25,10
59000000,24.9999941423022,7,25,10
60000000,24.999994899053476,7,25,10
61000000,24.99999587751211,7,25,10
62000000,24.99999622451424,7,25,10
63000000,24.99999637434815,7,25,10
64000000,24.999997257421413,7,25,10
65000000,24.999998293267254,7,25,10
66000000,24.999997663491765,7,25,10
67000000,24.99999827940009,7,25,10
68000000,24.99999840767885,7,25,10
69000000,24.999998672337586,7,25,10
70000000,24.999998364074756,7,25,10
71000000,24.999998840412392,7,25,10
72000000,24.99999892423205,7,25,10
73000000,24.99999896131379,7,25,10
74000000,24.999998790597903,7,25,10
75000000,24.999999598610994,7,25,10
76000000,25.000000172016435,7,25,10
77000000,25.000000434875457,7,25,10
78000000,24.99999963121597,7,25,10
79000000,24.999999349731628,7,25,10
80000000,24.999998969561783,7,25,10
81000000,24.999999259895876,7,25,10
82000000,24.999998875321204,7,25,10
83000000,24.999999347887726,7,25,10
84000000,24.999998776468136,7,25,10
85000000,24.999997882832638,7,25,10
86000000,24.99999756727709,7,25,10
87000000,24.999998096651435,7,25,10
88000000,24.99999868645169,7,25,10
89000000,24.999998536216026,7,25,10
90000000,24.99999881046194,7,25,10
91000000,24.999999210621468,7,25,10
92000000,24.99999928355499,7,25,10
93000000,24.999999395180748,7,25,10
94000000,24.999998967714987,7,25,10
95000000,24.999998406604615,7,25,10
96000000,24.999998098872595,7,25,10
97000000,24.99999869647488,7,25,10
98000000,24.999998252672373,7,25,10
99000000,24.999998437227546,7,25,10
100000000,24.999998991793376,7,25,10
101000000,24.99999924538045,7,25,10
102000000,24.999999063773448,7,25,10
103000000,24.999998372098,7,25,10
104000000,24.99999844253949,7,25,10
105000000,24.999998176964567,7,25,10
106000000,24.999998731308267,7,25,10
107000000,24.9999993592399,7,25,10
108000000,24.999999057474692,7,25,10
109000000,24.99999846754977,7,25,10
110000000,24.999998720404776,7,25,10
111000000,24.999997856239936,7,25,10
112000000,24.999997502942296,7,25,10
113000000,24.999997313091924,7,25,10
114000000,24.999996974195675,7,25,10
115000000,24.999997211934645,7,25,10
116000000,24.99999766761767,7,25,10
117000000,24.999998777644443,7,25,10
118000000,24.9999981050495,7,25,10
119000000,24.999998044204137,7,25,10
120000000,24.999997894371326,7,25,10
121000000,24.999998006590655,7,25,10
122000000,24.99999790013691,7,25,10
