block_number,adv_stake_percent,inflation_rate,start_staked_percent,bonded_percent
0,25.0,7,25,10
0,24.999999997192795,7,25,10
1000000,25.000000427276298,7,25,10
2000000,24.999999593019474,7,25,10
3000000,25.000001390302184,7,25,10
4000000,25.000003165897677,7,25,10
5000000,25.000004124523244,7,25,10
6000000,25.0000048711424,7,25,10
7000000,25.000001678358995,7,25,10
8000000,25.00000152530561,7,25,10
9000000,25.000002148430827,7,25,10
10000000,25.000001984341573,7,25,10
11000000,25.000002811159366,7,25,10
12000000,25.00000234230387,7,25,10
13000000,25.000000629080567,7,25,10
14000000,25.00000178820675,7,25,10
15000000,25.000001851363145,7,25,10
16000000,25.000003008071808,7,25,10
17000000,25.00000429574226,7,25,10
18000000,25.000003936209385,7,25,10
19000000,25.000004406788186,7,25,10
20000000,25.000003295060086,7,25,10
21000000,25.0000032108955,7,25,10
22000000,25.000003566093593,7,25,10
23000000,25.000003181896414,7,25,10
24000000,25.00000260653336,7,25,10
25000000,25.000002229279982,7,25,10
26000000,25.00000210443253,7,25,10
27000000,25.000000665020718,7,25,10
28000000,25.0000005370497,7,25,10
29000000,25.000002028245166,7,25,10
30000000,25.00000223949746,7,25,10
31000000,25.000001597628103,7,25,10
32000000,25.00000094733144,7,25,10
33000000,25.00000097315267,7,25,10
34000000,25.000001515606446,7,25,10
35000000,25.000001642979242,7,25,10
36000000,25.00000121428257,7,25,10
37000000,25.00000115115929,7,25,10
38000000,25.00000122579951,7,25,10
39000000,25.000000962342998,7,25,10
40000000,25.000002044960368,7,25,10
41000000,25.00000278864109,7,25,10
42000000,25.000002607703557,7,25,10
43000000,25.00000359417921,7,25,10
44000000,25.000002870944105,7,25,10
45000000,25.000002841473478,7,25,10
46000000,25.00000285081123,7,25,10
47000000,25.000001617412433,7,25,10
48000000,25.000002359224933,7,25,10
49000000,25.000001680657263,7,25,10
50000000,25.0000015788301,7,25,10
51000000,25.00000172504688,7,25,10
52000000,25.000001331553246,7,25,10
53000000,25.000001111657827,7,25,10
54000000,25.000000862917766,7,25,10
55000000,25.00000066357061,7,25,10
56000000,25.000000464010153,7,25,10
57000000,25.000000721298598,7,25,10
